LapNumber,Driver,LapTime,Stint,TotalLaps,Compound,New,TyresNotChanged,Time,LapFlags,LapCountTime,StartLaps,Outlap
,22,,1,8.0,,False,False,0 days 01:53:28.523000,,,,
,63,,1,6.0,,False,False,0 days 01:53:28.523000,,,,
8.0,47,,1,,,False,False,0 days 01:53:32.779000,,,,
,5,,1,11.0,,False,False,0 days 01:53:33.533000,,,,
,47,,1,7.0,,False,False,0 days 01:53:33.533000,,,,
8.0,9,0 days 00:01:37.033000,1,,,False,False,0 days 01:53:34.279000,,,,
,9,,1,9.0,,False,False,0 days 01:53:38.531000,,,,
,16,,1,7.0,,False,False,0 days 01:54:38.528000,,,,
,44,,1,7.0,,False,False,0 days 01:54:38.528000,,,,
9.0,77,0 days 00:01:33.096000,1,,,False,False,0 days 01:54:42.410000,,,,
,4,,1,9.0,,False,False,0 days 01:54:43.534000,,,,
,77,,1,7.0,,False,False,0 days 01:54:43.534000,,,,
9.0,3,0 days 00:01:33.710000,1,,,False,False,0 days 01:54:45.595000,,,,
,3,,1,9.0,,False,False,0 days 01:54:48.522000,,,,
,55,,1,7.0,,False,False,0 days 01:54:48.522000,,,,
9.0,18,0 days 00:01:34.625000,1,,,False,False,0 days 01:54:52.458000,,,,
,14,,1,8.0,,False,False,0 days 01:54:53.523000,,,,
,18,,1,9.0,,False,False,0 days 01:54:53.523000,,,,
9.0,31,0 days 00:01:34.762000,1,,,False,False,0 days 01:54:54.022000,,,,
9.0,11,0 days 00:01:34.058000,1,,,False,False,0 days 01:54:57.228000,,,,
9.0,99,,1,,,False,False,0 days 01:54:58.505000,,,,
,7,,1,7.0,,False,False,0 days 01:54:58.531000,,,,
,10,,1,9.0,,False,False,0 days 01:54:58.531000,,,,
,11,,1,9.0,,False,False,0 days 01:54:58.531000,,,,
,31,,1,7.0,,False,False,0 days 01:54:58.531000,,,,
,99,,1,7.0,,False,False,0 days 01:54:58.531000,,,,
9.0,63,0 days 00:01:35.192000,1,,,False,False,0 days 01:54:59.926000,,,,
9.0,22,0 days 00:01:35.213000,1,,,False,False,0 days 01:55:00.669000,,,,
9.0,6,0 days 00:01:35.350000,1,,,False,False,0 days 01:55:02.170000,,,,
,6,,1,7.0,,False,False,0 days 01:55:03.787000,,,,
,22,,1,9.0,,False,False,0 days 01:55:03.787000,,,,
,63,,1,7.0,,False,False,0 days 01:55:03.787000,,,,
9.0,5,0 days 00:01:34.370000,1,,,False,False,0 days 01:55:04.981000,,,,
,5,,1,12.0,,False,False,0 days 01:55:08.524000,,,,
9.0,47,0 days 00:01:36.428000,1,,,False,False,0 days 01:55:09.108000,,,,
9.0,9,0 days 00:01:36.697000,1,,,False,False,0 days 01:55:10.987000,,,,
,9,,1,10.0,,False,False,0 days 01:55:13.528000,,,,
,47,,1,8.0,,False,False,0 days 01:55:13.528000,,,,
